Poster,Mo Abdallah,Riyad S. Aboutaha,Jeongmin Ahn,Ben Akih-Kumgeh,Jackie Anderson,Michael Blatchley,Michelle M. Blum,Ed Bogucz,Jesse Q. Bond,Mary Beth Browning Monroe,Katie Cadwell,Yue Cao,Elizabeth Carter,C.Y. Roger Chen,Ruth Chen,Biao Chen,Andria Costello Staniec,John F. Dannenhoffer III,Gabriel Silva De Oliveira,Alexander Deyhim,Bing Dong,Charles T. Driscoll,Victor Duenas,Sara Eftekharnejad,Ehat Ercanli,Matthew Erdman,Makan Fardad,Zhenyu Gan,Venkata S.S. Gandikota,Natarajan Gautam,Nadeem Ghani,Prasanta K. Ghosh,Jennifer W. Graham,M. Cenk Gursoy,Moamer (Mo) Hasanovic,James (Jay) Henderson,Endadul Hoque,Ian D. Hosein,Can Isik,Era Jain,Pankaj K. Jha,Chris E. Johnson,Alex K. Jones,Andrea Joseph,Garrett Ethan Katz,Bryan S. Kim,Rodrick Kuate Defo,Saman Priyantha Kumarawadu,Lihong Lao,Kasey Laurent,Andrew C. Lee,Tong Lin,Xiyuan Liu,Min Liu,Yizhi Liu,Eric M. Lui,Aoyi Luo,Zhen Ma,Sinéad C. Mac Namara,Duane L. Marcy,Shalabh C. Maroo,Karen Martinez Soto,Joao Paulo Marum,Jean-Daniel Medjo,Kristopher Micinski,Aaron Mohammed,Chilukuri K. Mohan,Young B. Moon,Shikha Nangia,Dawit Negussey,Susan Older,Anupam Pandey,Vir V. Phoha,Peter Plumley,Jason Pollack,Quinn Qiao,Zhao Qin,Qinru Qiu,Younes Ra’di,Farzana Rahman,Dacheng Ren,Utpal Roy,Baris Salman,Ashok S. Sangani,Amit K. Sanyal,Mehmet Sarimurat,Wanliang Shan,Ian M. Shapiro,Andrea Shen,Yilei Shi,Cindy Smith,J. Cole Smith,Pranav Soman,Sucheta Soundarajan,Yiyang Sun,Radhakrishna (Suresh) Sureshkumar,Yuzhe Tang,Svetoslava Todorova,John Trimmer,Pramod K. Varshney,Senem Velipasalar,Joseph J. Waclawski,Theodore Walker,Li Wang,Yeqing Wang,Yaoying Wu,Edmund S. Yu,Pun To (Douglas) Yung,Reza Zafarani,Teng Zeng,Jialiu Zeng,Jianshun “Jensen” Zhang,Teng Zhang,Junzhe Zhang,Yi Zheng,Fernando Zigunov
1,-0.014055301830767713,-0.034787669216620846,0.0821670675826802,0.021433299909641372,-0.06819338320470948,0.1748566751869108,0.3358277572072914,0.006542377095937869,0.06817272620493461,0.1560366972954409,0.03928416510602835,0.14066949201476162,0.10062584832771822,0.14149650634697078,0.040486418949540366,0.08705596630316861,-0.024138030050382512,0.0849066855673468,0.009838356093464718,0.272072404860171,0.10976835246026954,-0.06522465727256394,0.22177799850172059,-0.005763239292501467,0.06080050872942398,0.08215027197777658,0.02190559298501637,0.07602787047028718,0.04012431405248207,0.032365045254472084,0.15709277310311187,0.05624941597460556,0.1758663454115196,0.003693141270058929,0.08691928722871967,0.3192913615441599,-0.0050410505634778235,0.22981984995475324,0.0,0.19305009891035652,0.1346616997980029,-0.006075116534779207,0.0,0.0,0.0,0.07562365196339497,0.0,0.0,0.0,0.03402236014635618,0.0,-0.0004572380161058932,0.3772065852827683,0.031020393545355678,0.2659151365954949,0.0,0.23787243654589177,0.2014482573407962,0.0,0.0,0.24878135799426662,0.04202239941388288,0.12127716527775101,0.0,-0.05246934224603588,-0.06015370014892243,0.08787920874345467,0.07810812167378718,0.09556080144244578,0.0,-0.06668779338606921,0.3117200656532367,0.25351568025135546,0.0,-0.01779793010686684,0.2872343654301897,0.26482460166473126,0.18660623012627506,0.17231586568157792,0.11702929623681288,0.15386591689828485,0.0,0.03337166640908572,0.0,0.0,0.0,0.5022543618050453,-0.04727629987753053,0.0,0.0,0.0,-0.07274542366603653,0.22720673733016192,-0.017680326440863363,-0.012718796371037245,0.0,-0.012155376334640795,-0.008223867898978166,-0.04009167877008575,0.0,0.23972671789695282,0.0,0.15278154967360905,0.0,0.14169749154498607,0.1598784378546969,0.1191220702290997,0.0,0.014711243499518144,0.02363127527648069,0.11855426292765901,-0.0035726357821566023,0.4736954734918262,0.016506413021508178,0.2305103224330255,0.18017496381277928
2,-0.052646990696041465,0.013651026710988444,-0.004773104411499079,-0.018463111265046146,0.08560313986926761,-0.006038957094076505,-0.05489325483497905,0.019846713867999317,-0.03293583023134477,0.01453601422627267,-0.040611044669933566,0.19137151745891542,0.22384424540052694,0.06232517668289793,-0.00755938848170373,0.36988658487798604,0.08952015958290568,0.19283593274086647,0.07499117203569648,0.18467270679990902,0.3276399557706585,0.059071399211776426,0.10283401714852569,0.08015924988872229,0.2520317919756323,0.15096466769355057,0.18908189930744795,0.0794033745733796,0.3597009237957963,0.2450298323169527,0.060202158284285566,0.10038661562149975,0.009334055995986548,0.20000367616258422,0.1664144662522717,0.05841001951099087,0.22401636428816005,0.09222605672080807,0.0,-0.04568372907099315,0.2410914119764555,0.013809050228828224,0.0,0.0,0.0,0.13726729696131254,0.0,0.0,0.0,0.1809427249569594,0.0,0.07426011302843398,0.1535991027030561,0.045862592476735936,0.2623750450138975,0.0,-0.026319930238028273,0.025493951844149387,0.0,0.0,0.02220034534409772,0.09042434059492621,0.3533828340425594,0.0,0.22611571842215472,0.08955965789063362,0.2859434102321035,0.2179658643811935,0.001552995627174276,0.0,0.15308658599057026,-0.010473182730122084,0.31783524452451106,0.0,0.24645047300050932,0.06931563835341242,0.018939854146236793,0.22506680754149366,0.19803537396280896,0.29611852781750336,0.02513113905464597,0.0,0.02250060682113063,0.0,0.0,0.0,0.19530071181031486,0.02274961395974596,0.0,0.0,0.0,0.12060004146621134,0.03830892808088152,0.23514971536101076,0.11106513185029811,0.0,0.2995440550638523,0.11692319761446548,0.048048117926157576,0.0,0.3024735480119244,0.0,0.003959859926358317,0.0,0.061726300773553344,-0.004297147357850451,0.2644067872773866,0.0,0.2079480160422834,0.0378813858191987,0.034917529920675726,0.10709080108355956,0.041446994997970825,0.20838951075390066,0.08197684754020135,0.21756311429267108
3,-0.01438730335952909,0.1521285590059602,0.020396216282996982,-0.05612384236557941,0.018309575007842572,-0.026523332798011563,0.0010229144614563555,0.09608730781163834,-0.02989568799195873,0.02087713575392942,-0.04747174633302255,0.15296743758118722,0.12271269674689114,0.15806302804264083,-0.028825345643041646,0.2305021542454823,0.09891228580797863,0.0630693392176688,0.11152114795162399,0.19533394332930018,0.37253953216893504,0.04971841820520291,0.02221751160026589,0.11181135261523123,0.22080483352698108,0.061764159389694234,0.09512647870710324,-0.060461171790777916,0.25274946659884573,0.2499513221587799,0.009791606473824896,0.036851899413634225,-0.005113904162743336,0.23362237690354243,0.03018277485550328,0.036109235850524474,0.4092619920714572,0.10424614690978717,0.0,-0.039670785072345706,0.017266654037131072,0.013718466902667007,0.0,0.0,0.0,0.13075853160190126,0.0,0.0,0.0,0.008375440431953532,0.0,0.12519805343636542,0.041848448102214685,0.15780755195295568,0.17862307908436134,0.0,-0.01927156104491986,-0.0005531165887388836,0.0,0.0,0.03966334818471022,-0.039800221451368266,0.1561863162454362,0.0,0.4160477405990327,0.014334249639319323,0.40892346768271465,0.22906737100303365,-0.04586728944082014,0.0,0.32098603130523623,-0.06862116749554949,0.3575201908479277,0.0,0.11580627210993351,0.07496776389415612,-0.032385686209197115,0.18876542771285482,0.014516673280977088,0.526357811241907,-0.002037539928460087,0.0,0.17199288920549163,0.0,0.0,0.0,0.04755254024821977,0.12292283784829207,0.0,0.0,0.0,0.1800361197417239,0.00031521752571670467,0.2368791065482317,0.048508353414412,0.0,0.4561270444605864,0.17495826009853466,0.1314271817201916,0.0,0.27431077064179665,0.0,-0.052548354681716807,0.0,0.10619899947157145,-0.015502589190729405,0.24234311821719554,0.0,0.21232226272375698,0.01631891617505645,0.014358661934824315,0.15196064443531787,0.009899482672720877,0.16666276040212416,0.027165433387238088,0.05191302949937629
4,-0.05833332869390776,-0.02995247586041223,-0.07044937932026656,-0.11550688706299997,0.009315940120293483,-0.028842263189116167,-0.14794969766137905,0.011879949246834727,-0.05029242845219091,-0.04498281206283531,-0.06687687326987177,-0.07723940844423612,-0.09149898651125249,-0.027311258445453433,0.0034560724753380937,0.16394766209923528,-0.06618074632926726,-0.1040083690468492,-0.0822787611637543,-0.04482182516453551,-0.11247883735569789,-0.06061008183952923,-0.04917966458064215,-0.020706022375039483,-0.047879354269065054,-0.07958796254236893,0.15394576458906473,-0.09129019508978113,0.15841344158875692,-0.025105748796761005,0.002308912900790883,0.00653638550468546,-0.009372608901253037,0.10926725224659545,0.31828882991477575,-0.1467109742549904,0.10688918928967399,-0.00928123252178414,0.0,-0.0979092295510774,0.36152574290298656,-0.045968813200502605,0.0,0.0,0.0,0.01788345080005204,0.0,0.0,0.0,0.10004782225861363,0.0,-0.016879476962182817,-0.04151500354325465,-0.12169160234644312,-0.023619481439753415,0.0,-0.13973256053522393,-0.11896510287935506,0.0,0.0,-0.0882053091105037,0.025691073601046166,-0.055091722747704394,0.0,0.023347428187677127,-0.016564196326505697,-0.00454818011300694,-0.16655111685290114,0.1464262382743362,0.0,0.1895636469151642,-0.006710832177189883,-0.022334935224055233,0.0,0.28437313427347544,-0.1055059413927831,-0.058041779000363725,-0.0601210022895946,0.07180757812950836,0.05997497460300662,-0.06123578025265467,0.0,-0.035511740104849206,0.0,0.0,0.0,-0.10325007616801277,0.02151900711419134,0.0,0.0,0.0,0.028683628083317484,-0.05415990306241137,-0.05137247937514177,0.13975423853822075,0.0,0.05160201167436908,0.0027086910989219067,-0.08756249835478225,0.0,-0.04671903430364139,0.0,-0.08983227718427098,0.0,-0.0384316001489397,0.01420795332219032,-0.04503608284337008,0.0,-0.07762468448347344,-0.04764629456968562,-0.07688026856837969,-0.11150282663439386,-0.07539441777980505,0.0073912915995554196,-0.0693247097344943,-0.002475287366062721
5,0.033263224116871604,0.002941058377932887,0.08859952083545583,0.09401292457654853,-0.05232440205527016,0.49407755050305874,0.23768897209306242,-0.01627936068934729,0.16632778823605357,0.33836895977674225,0.1042558271536993,-0.055394895396616003,-0.0735252939393498,0.0027676508678473404,0.3614220397686413,0.004833337028080728,-0.046725279584619174,-0.018664146624784696,-0.09169151630394234,0.07763586640815363,-0.04971726634024443,0.017259889551750687,0.0757511104075897,-0.15825331567006617,-0.03540246448657199,0.1264342780794065,-0.021874761525225675,-0.0377410852953491,0.006849664389018705,-0.03184659570583457,0.07313796592205428,-0.019920554407126922,0.15520345245644296,0.027804325789265893,0.0366245098268314,0.38823069084714457,-0.021431078973297095,0.2752955209016429,0.0,0.47081104278069014,0.24818682645575604,-0.07184106160573434,0.0,0.0,0.0,-0.01509826565915201,0.0,0.0,0.0,0.010039537544591944,0.0,0.08239108079891838,0.3815384900978218,-0.0385622776937006,0.02592309718491145,0.0,0.15922877354498152,0.38960945623274756,0.0,0.0,0.27362721494903663,-0.07341873213208486,0.043834636817638176,0.0,-0.035634203847821504,-0.04236601693549109,0.01532259015713119,-0.13033236134761986,0.3436375554702728,0.0,-0.043461525741301237,0.21587640393250815,-0.01732619456938651,0.0,-0.03757296282285146,0.28878039144570095,0.3468428547335828,0.0401879100033719,0.2068644929307592,0.09647047937469573,0.25705485207408335,0.0,-0.06058182778146852,0.0,0.0,0.0,0.31492956012681744,-0.11423143049803325,0.0,0.0,0.0,-0.05940357074834558,0.3833293189551461,-0.08180503074965048,0.025046197049543712,0.0,0.023387424341261957,0.07386617771056744,-0.08206399381806538,0.0,0.011949878497025739,0.0,0.20939693278184696,0.0,0.03624074299302165,0.4546496513647907,-0.0370408300224539,0.0,-0.09100057035616539,0.06322461515142284,0.4697929322419303,0.07248852287323067,0.43093656614885834,-0.05462960251604432,0.26648804578947766,0.02899518617591394
6,-0.030687373235738304,0.02511361153119678,0.2746309210003099,0.06983294297950679,-0.018190958711688576,0.24220333153267634,0.20815431092610956,-0.0012283122653039056,0.18865749889485756,0.2565337788842363,0.07843826251862136,0.03735929958877923,-0.021256592698934942,0.08905490907791762,0.1176559588023539,0.004591507100617107,0.032169474734150404,0.05677490692946247,0.02022018183956298,0.11615025081308375,0.09903287478305585,-0.017229250774340385,0.10710440738341286,0.08680975007627302,0.051416346189525244,-0.03061860387012574,0.026268772840210338,0.18440685529246187,-0.02782765949935351,0.015782797732629885,0.03944947753068775,0.005544157868404216,0.16964509878904535,0.029487288055131646,0.09426617257199776,0.29495461925220023,0.010793921563692856,0.4379804118545963,0.0,0.23969853233642538,0.10515551027025259,-0.03498428224061547,0.0,0.0,0.0,0.06926605597190302,0.0,0.0,0.0,0.02306042860470139,0.0,0.04602622148458243,0.33136490647838457,-0.025989202011898572,0.015799132307397858,0.0,0.11906933496838924,0.24542191595535198,0.0,0.0,0.28541504634935144,0.019919530208952194,0.039196700108583525,0.0,0.05365718546521396,0.02688046902358271,-0.017313417295080853,0.01892121649523842,0.1518129712728553,0.0,-0.0701694497072465,0.1770541400341008,0.03754289159098656,0.0,-0.01096615208799766,0.5526265042250121,0.3791559774563784,0.19481785964396056,0.2373279428488017,0.06908142163541314,0.18270501039247616,0.0,-0.006615808277141636,0.0,0.0,0.0,0.4039145738654638,-0.05007639064472216,0.0,0.0,0.0,-0.05378984911784739,0.24803294917410482,-0.03775102871643615,-0.04594974113423993,0.0,0.013863108186940303,0.07084754286267586,0.009727027767525006,0.0,0.10434522102183799,0.0,0.2308306396223378,0.0,0.20264055270131393,0.25369705958083666,0.046650101109945864,0.0,0.01109206930909786,-0.015256141866940558,0.16650891037961965,0.08937546723727326,0.4049324730961721,-0.052240322131381564,0.1433893330716876,0.01300303033304417
7,0.030491469639426238,0.02799619443077084,0.04549711584743438,0.022621411250834486,-0.02237049063758773,0.08790029337422034,0.0318418809102037,0.0038343631809452435,0.10251473063316181,0.12479008427064099,0.036827600392860406,-0.02880241367207811,-0.06353286278471938,0.04770576573114588,0.04958384841345637,-0.0004805522051422782,-0.03686850249899648,-0.042671115192753344,-0.03031563424251216,0.06860076943840294,-0.03639609248761026,0.042640923341960346,-0.007611928522173325,-0.00437870090293347,0.03030698674495197,-0.05391204213559119,0.019197602615903107,0.023742731455997302,-0.08415492624922002,-0.03581466342206674,0.0783349762988274,-0.10389279621725618,0.02611096315973205,-0.047341083851897454,0.046636872665992514,0.0335556569083892,-0.015162406844714647,0.31047482360166345,0.0,0.12041746977078248,0.16441179883809284,0.01948440453539736,0.0,0.0,0.0,0.010132449720496471,0.0,0.0,0.0,-0.07713129330494523,0.0,0.027115148337325878,0.02107317340523435,-0.05915514881968411,-0.05292776609675691,0.0,-0.02452984189202999,0.01760861365278551,0.0,0.0,0.15193276868030758,-0.054489268813298776,0.024484107854409742,0.0,0.019327258442428503,-0.015134060009578768,-0.06290639965065184,-0.06726920400501196,0.2324955900836402,0.0,-0.04699085819474339,-0.022094706049333897,-0.0072736374822630605,0.0,-0.022655616790899773,0.44631791202335896,0.08229357681897326,0.03176270105403419,0.15278945393545354,0.011285237574658989,0.05931853985748888,0.0,0.02164516243117931,0.0,0.0,0.0,0.007779227154589406,0.008173889521093785,0.0,0.0,0.0,-0.09218061060657703,0.004826883369924587,-0.0408450376899698,-0.06090382363658613,0.0,-0.014225266189084766,0.06380192842732002,-0.0028108440705733226,0.0,0.03718237204927192,0.0,0.1574684438721547,0.0,0.00381867982971083,0.11654039166662207,-0.09677720084265021,0.0,0.015161192631243272,0.1281382869575463,0.1384906769284778,0.07551045423905897,0.06604817538837221,-0.05864807394159381,-0.08995675976359103,-0.10062678238552246
8,-0.04908336703753151,0.005525546173222558,0.096436659230163,0.11756756119932794,-0.045043650106936596,-0.07858282215994182,0.012402258797107373,0.03685034590192129,-0.07175727797617155,-0.040364310909047595,0.18848534081767226,0.20138516336185616,0.12198039062784359,0.24958798155867937,0.00850203263039908,0.16864199309501518,0.13101960374409596,0.15887662988530327,0.19114965312763615,0.235577898969407,0.24800541761892067,-0.0008163268984386182,0.13185476865659046,0.1564497838293749,0.3408996216575231,0.13418143668415153,0.11576110487337835,0.0058932705711739995,0.2091187186048946,0.26162771226442394,0.046574593019099254,0.06393425978708323,-0.07932971887439984,0.10901920107598767,0.10703109222700051,0.026947468709530274,0.12126567211304787,0.04279348064813476,0.0,-0.01689943889914543,0.060222197450539465,0.015057704507644203,0.0,0.0,0.0,0.2183029241065724,0.0,0.0,0.0,-0.053651316521409684,0.0,0.10442770966389064,0.13477242613360416,0.2555518529611714,0.140982998821406,0.0,0.2177233957074456,0.010567450532864965,0.0,0.0,0.04006241034205297,0.1662315843529886,0.04717753581561377,0.0,0.13992980113866843,-0.006772515725249306,0.24553250436901353,0.476380536250357,-0.00483092507881756,0.0,0.13986366445392434,-0.09936924846520435,0.29324121103830164,0.0,0.07729136662287883,-0.06128749077920156,-0.08830093117811603,0.29827280732628014,-0.007313805057959508,0.1353172159486389,0.01031827277036957,0.0,0.19400364832732991,0.0,0.0,0.0,0.05491382984195718,-0.002345500297938282,0.0,0.0,0.0,0.23958920044147272,0.12210953817584276,0.15333630779751647,0.024507292835455278,0.0,0.08731100439734914,0.06520139797690744,0.013583420805714088,0.0,0.11522457048353064,0.0,0.08226424551613469,0.0,0.07334142410548788,-0.04087721039603253,0.260117724774463,0.0,0.15622602159846763,0.019341282354515283,-0.08996741480735142,0.10465930684603535,-0.005831319648938714,0.17245059209185698,0.09607932176926727,0.24849587406199028
9,-0.05742684166082378,-0.026534983464931067,-0.0397632520241819,-0.012969945236840998,1.0000000000000009,-0.09715197197126854,-0.10856959821111785,-0.09193141007746945,-0.02437557562806726,0.04111649434075187,-0.004598864096453258,0.048929064546577056,0.04341910640131054,-0.06905632556609477,-0.04559778366959397,0.06645556018416834,-0.06783471077937656,-0.009529813462749826,0.04207659729990093,-0.0073143351174593425,0.04518322607691074,0.008122187676538955,-0.04549352383267614,-0.05576470928318608,0.028892451308122763,-0.030787415561116374,0.027631540924969767,0.05743635780752609,0.049844260350710407,-0.016272553241024033,-0.031840365836578684,0.06368357875534547,-0.035959353709058915,0.02730208112948339,0.06558081088629293,-0.03855160405492599,0.004206524658069327,-0.054539676116333154,0.0,-0.04586486352624193,0.0003279314311113275,-0.009319709032991768,0.0,0.0,0.0,-0.05647300584456829,0.0,0.0,0.0,0.07318655800793375,0.0,-0.06052465884069343,-0.05006387603748639,0.012213630205049687,0.09200460853916832,0.0,-0.08078450597519683,-0.025096791897725197,0.0,0.0,-0.08118544932471258,0.028099619522045646,0.019993337823102163,0.0,0.04845944899447828,-0.04227030832155749,0.038496467152930286,-0.017116080298135522,-0.04626404304828236,0.0,0.03875951032494363,0.01095082621852943,0.07394399404903167,0.0,0.13812537082951945,-0.03668604180455672,-0.04937916476467496,0.0036508690580853115,0.008586338011461863,0.007688927216432469,0.015928913569874713,0.0,-0.04919545013736161,0.0,0.0,0.0,0.011932624293762895,-0.015062851716641134,0.0,0.0,0.0,0.018659043305743937,-0.09108977282235725,0.07189019059436288,-0.03941555370413891,0.0,0.03156348004968612,-0.06930663232240189,0.04279007037782935,0.0,0.08119467698384418,0.0,-0.03202599524701029,0.0,-0.038125147383354346,0.013514451604874241,0.06035867440701196,0.0,0.10461716059177462,0.021642623529247562,-0.04277617275919368,-0.04051668463937521,-0.07214955114611969,0.0582575852733867,-0.03238250846396286,-0.003358557180222189
10,-0.05742684166082378,-0.026534983464931067,-0.0397632520241819,-0.012969945236840998,1.0000000000000009,-0.09715197197126854,-0.10856959821111785,-0.09193141007746945,-0.02437557562806726,0.04111649434075187,-0.004598864096453258,0.048929064546577056,0.04341910640131054,-0.06905632556609477,-0.04559778366959397,0.06645556018416834,-0.06783471077937656,-0.009529813462749826,0.04207659729990093,-0.0073143351174593425,0.04518322607691074,0.008122187676538955,-0.04549352383267614,-0.05576470928318608,0.028892451308122763,-0.030787415561116374,0.027631540924969767,0.05743635780752609,0.049844260350710407,-0.016272553241024033,-0.031840365836578684,0.06368357875534547,-0.035959353709058915,0.02730208112948339,0.06558081088629293,-0.03855160405492599,0.004206524658069327,-0.054539676116333154,0.0,-0.04586486352624193,0.0003279314311113275,-0.009319709032991768,0.0,0.0,0.0,-0.05647300584456829,0.0,0.0,0.0,0.07318655800793375,0.0,-0.06052465884069343,-0.05006387603748639,0.012213630205049687,0.09200460853916832,0.0,-0.08078450597519683,-0.025096791897725197,0.0,0.0,-0.08118544932471258,0.028099619522045646,0.019993337823102163,0.0,0.04845944899447828,-0.04227030832155749,0.038496467152930286,-0.017116080298135522,-0.04626404304828236,0.0,0.03875951032494363,0.01095082621852943,0.07394399404903167,0.0,0.13812537082951945,-0.03668604180455672,-0.04937916476467496,0.0036508690580853115,0.008586338011461863,0.007688927216432469,0.015928913569874713,0.0,-0.04919545013736161,0.0,0.0,0.0,0.011932624293762895,-0.015062851716641134,0.0,0.0,0.0,0.018659043305743937,-0.09108977282235725,0.07189019059436288,-0.03941555370413891,0.0,0.03156348004968612,-0.06930663232240189,0.04279007037782935,0.0,0.08119467698384418,0.0,-0.03202599524701029,0.0,-0.038125147383354346,0.013514451604874241,0.06035867440701196,0.0,0.10461716059177462,0.021642623529247562,-0.04277617275919368,-0.04051668463937521,-0.07214955114611969,0.0582575852733867,-0.03238250846396286,-0.003358557180222189
